state,district,case,cured,active,death
"maharashtra","mumbai","100350","70492","23917","5650"
"maharashtra","thane","73289","34017","37295","1976"
"maharashtra","pune","51575","18881","31380","1314"
"maharashtra","palghar","11566","6241","5091","234"
"maharashtra","raigad","10841","5733","4895","211"
"maharashtra","aurangabad","9455","5234","3857","364"
"maharashtra","nashik","8968","5085","3526","357"
"maharashtra","jalgaon","7166","4515","2269","382"
"maharashtra","solapur","5318","2433","2502","382"
"maharashtra","nagpur","2483","1428","1030","24"
"maharashtra","satara","2254","1217","961","75"
"maharashtra","akola","2018","1623","298","96"
"maharashtra","kolhapur","1865","904","932","29"
"maharashtra","dhule","1814","1227","503","82"
"maharashtra","jalna","1298","661","583","54"
"maharashtra","ahmednagar","1220","705","482","33"
"maharashtra","amravati","1127","737","345","45"
"maharashtra","ratnagiri","1125","686","399","40"
"maharashtra","latur","1015","434","533","48"
"maharashtra","sangli","870","440","409","21"
"maharashtra","nanded","780","403","343","34"
"maharashtra","yavatmal","508","349","143","16"
"maharashtra","buldhana","482","225","235","22"
"maharashtra","osmanabad","481","296","161","24"
"maharashtra","hingoli","387","295","89","3"
"maharashtra","nandurbar","360","172","172","16"
"maharashtra","beed","323","152","163","8"
"maharashtra","washim","314","134","175","5"
"maharashtra","parbhani","309","157","145","7"
"maharashtra","sindhudurg","271","229","37","5"
"maharashtra","other state","248","0","216","32"
"maharashtra","gondia","225","186","36","3"
"maharashtra","chandrapur","214","134","80","0"
"maharashtra","bhandara","179","100","77","2"
"maharashtra","gadchiroli","173","105","67","1"
"maharashtra","wardha","66","33","31","1"
"maharashtra","mumbai suburban","0","0","0","0"
"tamil nadu","chennai","84598","68193","15001","1404"
"tamil nadu","chengalpattu","9360","6845","2329","186"
"tamil nadu","thiruvallur","8702","5282","3266","154"
"tamil nadu","madurai","8044","4758","3139","147"
"tamil nadu","kancheepuram","4519","2454","2001","64"
"tamil nadu","vellore","3814","2113","1676","25"
"tamil nadu","tiruvannamalai","3781","2229","1520","32"
"tamil nadu","thoothukkudi","3290","1381","1886","23"
"tamil nadu","virudhunagar","3127","1219","1882","26"
"tamil nadu","tirunelveli","2504","1148","1345","11"
"tamil nadu","theni","2374","993","1351","30"
"tamil nadu","ramanathapuram","2316","1398","871","47"
"tamil nadu","salem","2234","1308","912","14"
"tamil nadu","kanyakumari","2187","706","1465","16"
